"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1200","AR110","CIV6508","AR110","AR110","CIV3930","CIV6504"
"1925","MEC2105","AE4155","MEC2105","CIV6504","AE4715","CIV6503"
"1252","CIV3502","ELE6215","CIV3502","CIV2500","ELE6208","ELE4700A"
"2022","MEC8310","GBM6103A","MEC8310","AER1200","AR230","ELE4704"
"1211","AR340","ICM4310","AR340","C-040","AE3205","AER1200"
"2312","TI330","ICM4321","TI330","CY150","AR140","AR340"
"1310","CIV6508","GLQ3105","CIV6508","PL050","AE4710","AR110"
"1307","CIV6504","GLQ1115","CIV6504","AR140","MEC2105","AE3205"
"1306","CIV6503","AE4165","CIV6503","ELE4704","CIV6508","AE3400"
"1193","AER1200","SSH5100A","AER1200","AE3205","PL060","AE4640"
