"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1260","CIV4230","ELE6215","CIV4230","CIV4230","MEC6912","CIV6207"
"1285","CIV6217A","GBM6103A","CIV6217A","CIV6218A","GCH6114","CIV4230"
"1286","CIV6218A","ICM4310","CIV6218A","CIV6207","CIV6215A","CIV6217A"
"1275","CIV6200","GLQ3105","CIV6200","CIV6206","GBM6929","CIV6206"
"1278","CIV6207","ICM4321","CIV6207","CIV6217A","INF6205","CIV6218A"
"1279","CIV6208","GLQ1115","CIV6208","CIV6200","MIN1101","GML6002"
"1261","CIV4240","AE4165","CIV4240","CIV6314A","MTH0103","CIV6208"
"1280","CIV6209A","AE4155","CIV6209A","CIV4240","C-040","CIV6215A"
"1645","GML6002","SSH5100A","GML6002","CIV6215A","GLQ3410","MIN2707"
"1277","CIV6206","SSH5100C","CIV6206","MTR3600","AE3100","CIV6209A"
