"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1788","IND6912","GCH4150","IND6912","IND6912","IND6912","IND6912"
"1701","IND1901","CIV6205","IND1901","CIV6301","IND6914","SMC4560"
"2258","SB320","AE4165","SB320","SB120","INF8702","GCH2120"
"2259","SMC4560","ELE6215","SMC4560","CIV6302","CIV6210","IND7911"
"2260","SMC4562","GBM6103A","SMC4562","CIV2100","IND5115","SMC4562"
"1240","CIV2100","ICM4310","CIV2100","R-230","CIV3220","SB320"
"1766","IND6212","AE4155","IND6212","IND1901","IND6115B","CIV6301"
"2241","R-130","ICM4321","R-130","GCH1135","IND4704","R-230"
"1791","IND6929","GLQ3105","IND6929","MIN2606","INF8500","IND1901"
"1743","IND6117","GLQ1115","IND6117","AE4165","IND6118","IND5116"
