"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"1887","IT500","INF4215","IT500","INF4715","IND8138","GML6901"
"2114","MTH6303","IND8138","MTH6303","GBM6929","INF4715","INF1005C"
"2118","MTH6311","ELE6215","MTH6311","GBM6903","IND8844","MTH6303"
"1650","GML6111","GBM6103A","GML6111","IND6412","INF6101","INF3500"
"1800","IND8844","ICM4310","IND8844","CY110","MTH2210B","INF4715"
"1805","INF1005C","ICM4321","INF1005C","GML6901","MEC1420","CY110"
"1831","INF4710","GLQ3105","INF4710","INF3500","INF4215","ENE6905"
"1459","ELE6910","GLQ1115","ELE6910","PHS6314","IND8833","INF4710"
"1460","ELE6911","AE4165","ELE6911","ELE6903","PHS6314","INF6500"
"1866","INF6905","AE4155","INF3500","PHS6905","GBM6903","ELE6911"
