"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"2023","MEC8311A","ELE6215","MEC8311A","IND2301","MEC4330","C-090"
"1938","MEC3230","GBM6103A","MEC3230","MEC3300","MEC6913","IND2301"
"1706","IND2301","ICM4310","IND2301","MEC3230","MEC6612","MEC3230"
"1227","C-090","ICM4321","C-090","C-090","MEC6411","AR400"
"1705","IND2201","GLQ3105","IND2201","AR400","IND1201","ELE4452"
"1892","LOG2430","AE4165","LOG2430","C-080","INF4920","MEC3300"
"1402","ELE4452","GLQ1115","ELE4452","MEC6612","MEC8200","INF6601"
"1698","IND1201","AE4155","IND1201","MEC7911","GCH2210","INF1005A"
"1913","M-404","SSH5100A","M-404","MEC6913","LOG3210","MEC1210"
"2253","SB130","SSH5100C","SB130","ELE4452","CY160","IND6224"
