"","terme.terme","tf.idf","log.entropy","lsa","lsa.tfidf","lsa.entropy"
"2091","MTH1115","MTH6207","MTH1115","ELE6220","MTH1115","MEC2500"
"1560","GCH2525","MTH1102","GCH2525","INF4402","MTH2210C","PHS6209"
"2090","MTH1110","GLQ3105","MTH1110","PHS6209","GLQ3205","MEC6512A"
"2089","MTH1102","GLQ1115","MTH1102","MEC2500","R-130","ELE6220"
"1932","MEC2500","ELE6215","MEC2500","INF4405","GCH6912A","PHS2109"
"1965","MEC4500","GBM6103A","MEC4500","PHS2109","GML6202","PHS4602"
"2111","MTH6211","ICM4310","MTH6211","MTH1110","ELE6506","MEC6601A"
"2101","MTH2302C","ICM4321","MTH2302C","MEC6413","GLQ3401","SB310"
"2086","MTH0103","AE4165","MTH0103","CY100","GCH2525","Z-328"
"2098","MTH2210C","AE4155","MTH2210C","GML6203","MTH2302D","GCH6902"
